relative_prob_transmission,days_post_infection,proportion_transmission_abated,cumulative_transmission,cumulative_transmission_abated
0.264299587,1.57,0.000516212,0.029565623,0.970434377
0.267081066,1.58,0.000521644,0.030087267,0.969912733
0.269861711,1.59,0.000527075,0.030614343,0.969385657
0.27264117,1.6,0.000532504,0.031146846,0.968853154
0.275438882,1.61,0.000537968,0.031684814,0.968315186
0.278235667,1.62,0.000543431,0.032228245,0.967771755
0.281031154,1.63,0.00054889,0.032777135,0.967222865
0.28382498,1.64,0.000554347,0.033331482,0.966668518
0.286616785,1.65,0.0005598,0.033891282,0.966108718
0.289406219,1.66,0.000565248,0.03445653,0.96554347
0.292192936,1.67,0.000570691,0.035027221,0.964972779
0.294976596,1.68,0.000576128,0.035603349,0.964396651
0.297756865,1.69,0.000581558,0.036184907,0.963815093
0.300533418,1.7,0.000586981,0.036771888,0.963228112
0.303326791,1.71,0.000592437,0.037364325,0.962635675
0.306116763,1.72,0.000597886,0.037962211,0.962037789
0.308902988,1.73,0.000603328,0.038565538,0.961434462
0.31168513,1.74,0.000608762,0.0391743,0.9608257
0.314462855,1.75,0.000614187,0.039788487,0.960211513
0.317235838,1.76,0.000619603,0.04040809,0.95959191
0.32000376,1.77,0.000625009,0.041033099,0.958966901
0.322766307,1.78,0.000630405,0.041663504,0.958336496
0.325523173,1.79,0.000635789,0.042299293,0.957700707
0.328274055,1.8,0.000641162,0.042940455,0.957059545
0.331040436,1.81,0.000646565,0.04358702,0.95641298
0.333801205,1.82,0.000651957,0.044238977,0.955761023
0.336556045,1.83,0.000657338,0.044896315,0.955103685
0.339304644,1.84,0.000662706,0.045559021,0.954440979
0.3420467,1.85,0.000668062,0.046227083,0.953772917
0.344781914,1.86,0.000673404,0.046900487,0.953099513
0.347509994,1.87,0.000678732,0.047579219,0.952420781
0.350230653,1.88,0.000684046,0.048263265,0.951736735
0.352943612,1.89,0.000689345,0.04895261,0.95104739
0.355648598,1.9,0.000694628,0.049647238,0.950352762
0.358367863,1.91,0.000699939,0.050347177,0.949652823
0.361079574,1.92,0.000705235,0.051052413,0.948947587
0.363783443,1.93,0.000710516,0.051762929,0.948237071
0.366479187,1.94,0.000715782,0.052478711,0.947521289
0.369166532,1.95,0.00072103,0.053199741,0.946800259
0.371845205,1.96,0.000726262,0.053926003,0.946073997
0.374514944,1.97,0.000731476,0.05465748,0.94534252
0.377175489,1.98,0.000736673,0.055394153,0.944605847
0.379826589,1.99,0.000741851,0.056136004,0.943863996
0.382467996,2,0.00074701,0.056883013,0.943116987
0.385122555,2.01,0.000752195,0.057635208,0.942364792
0.387767886,2.02,0.000757361,0.058392569,0.941607431
0.390403727,2.03,0.000762509,0.059155078,0.940844922
0.393029826,2.04,0.000767638,0.059922717,0.940077283
0.395645934,2.05,0.000772748,0.060695465,0.939304535
0.398251808,2.06,0.000777838,0.061473303,0.938526697
0.400847211,2.07,0.000782907,0.062256209,0.937743791
0.403431911,2.08,0.000787955,0.063044165,0.936955835
0.406005684,2.09,0.000792982,0.063837147,0.936162853
0.40856831,2.1,0.000797987,0.064635134,0.935364866
0.41114304,2.11,0.000803016,0.06543815,0.93456185
0.413707123,2.12,0.000808024,0.066246174,0.933753826
0.416260325,2.13,0.000813011,0.067059184,0.932940816
0.418802421,2.14,0.000817976,0.06787716,0.93212284
0.421333189,2.15,0.000822919,0.068700079,0.931299921
0.423852413,2.16,0.000827839,0.069527918,0.930472082
0.426359883,2.17,0.000832736,0.070360654,0.929639346
0.428855393,2.18,0.00083761,0.071198264,0.928801736
0.431338744,2.19,0.000842461,0.072040725,0.927959275
0.43380974,2.2,0.000847287,0.072888012,0.927111988
0.436291861,2.21,0.000852135,0.073740147,0.926259853
0.438762156,2.22,0.00085696,0.074597107,0.925402893
0.441220422,2.23,0.000861761,0.075458868,0.924541132
0.443666456,2.24,0.000866538,0.076325406,0.923674594
0.446100064,2.25,0.000871292,0.077196698,0.922803302
0.448521054,2.26,0.00087602,0.078072718,0.921927282
0.450929243,2.27,0.000880724,0.078953441,0.921046559
0.453324449,2.28,0.000885402,0.079838843,0.920161157
0.455706497,2.29,0.000890054,0.080728897,0.919271103
0.458075216,2.3,0.000894681,0.081623578,0.918376422
0.460454131,2.31,0.000899327,0.082522905,0.917477095
0.462820269,2.32,0.000903948,0.083426853,0.916573147
0.46517345,2.33,0.000908544,0.084335397,0.915664603
0.467513496,2.34,0.000913115,0.085248512,0.914751488
0.469840237,2.35,0.000917659,0.086166171,0.913833829
0.472153507,2.36,0.000922177,0.087088348,0.912911652
0.474453144,2.37,0.000926669,0.088015017,0.911984983
0.476738991,2.38,0.000931133,0.088946151,0.911053849
0.479010895,2.39,0.000935571,0.089881721,0.910118279
0.481268709,2.4,0.00093998,0.090821702,0.909178298
0.483535833,2.41,0.000944408,0.09176611,0.90823389
